Date,Close,return,P/E,β
6/25/18,$45.54,0.0123297,0.000270729,0.420677383
6/26/18,$46.11,-0.001465,-3.17745E-05,0.209902995
6/27/18,$46.04,0.0072499,0.00015747,0.126337118
6/28/18,$46.38,-0.0021046,-4.53831E-05,0.087107256
6/29/18,$46.28,0.0111205,0.0002403,0.156173566
7/2/18,$46.80,-0.0175698,-0.000375464,0.143548546
7/3/18,$45.98,0.0080148,0.00017431,0.072174007
7/5/18,$46.35,0.0137667,0.000297017,0.119920925
7/6/18,$46.99,0.0137897,0.000293444,0.108911825
7/9/18,$47.65,-0.0012076,-2.53452E-05,0.116045879
7/10/18,$47.59,-0.013061,-0.000274463,0.129726639
7/11/18,$46.97,0.016627,0.000353992,0.119398754
7/12/18,$47.76,0.0015692,3.28577E-05,0.103104067
7/13/18,$47.83,-0.0021976,-4.59431E-05,0.095006178
7/16/18,$47.73,0.0028246,5.91811E-05,0.078075056
7/17/18,$47.86,-0.0054996,-0.000114903,0.06607321
7/18/18,$47.60,0.0077431,0.000162669,0.063115808
7/19/18,$47.97,-0.0022957,-4.78577E-05,0.060233442
7/20/18,$47.86,0.0008876,1.8546E-05,0.056380819
7/23/18,$47.90,0.0072281,0.000150893,0.060162129
7/24/18,$48.25,0.0093859,0.000194526,0.064800168
7/25/18,$48.71,-0.003136,-6.43878E-05,0.088723835
7/26/18,$48.55,-0.0167713,-0.000345427,0.117208248
7/27/18,$47.75,-0.0056184,-0.000117676,0.112477379
7/30/18,$47.48,0.0019989,4.21031E-05,0.087462018
7/31/18,$47.57,0.0572402,0.001203219,0.079222879
8/1/18,$50.38,0.0288117,0.000571944,0.077457094
8/2/18,$51.85,0.0028889,5.57196E-05,0.074280114
8/3/18,$52.00,0.0051791,9.96033E-05,0.062061282
8/6/18,$52.27,-0.0094191,-0.000180209,0.061358702
8/7/18,$51.78,0.0006757,1.30509E-05,0.058795101
8/8/18,$51.81,0.0078341,0.000151202,0.052065013
8/9/18,$52.22,-0.006484,-0.000124167,0.051402544
8/10/18,$51.88,0.0064361,0.000124052,0.049993988
8/13/18,$52.22,0.0042043,8.05151E-05,0.047187023
8/14/18,$52.44,0.0023334,4.44985E-05,0.049861352
8/15/18,$52.56,0.0145437,0.000276706,0.055625147
8/16/18,$53.33,0.0197732,0.000370771,0.031289439
8/17/18,$54.40,-0.0097913,-0.000180004,0.032873253
8/20/18,$53.87,-0.0019512,-3.62243E-05,0.029342893
8/21/18,$53.76,4.65E-05,8.64991E-07,0.027665087
8/22/18,$53.76,0.0020439,3.80181E-05,0.026003142
8/23/18,$53.87,0.0031044,5.76244E-05,0.02288475
8/24/18,$54.04,0.0082009,0.000151757,0.020991411
8/27/18,$54.49,0.0080432,0.000147622,0.023207452
8/28/18,$54.93,0.0148191,0.000269806,0.022594938
8/29/18,$55.75,0.0091516,0.00016417,0.022742227
8/30/18,$56.26,0.0114878,0.0002042,0.020518354
8/31/18,$56.91,0.0032018,5.62637E-05,0.022891135
9/4/18,$57.09,-0.0065462,-0.000114664,0.025375044
9/5/18,$56.72,-0.0167571,-0.000295448,0.01881442
9/6/18,$55.78,-0.0081009,-0.000145242,0.023835665
9/7/18,$55.33,-0.0135116,-0.000244222,0.027994577
9/10/18,$54.58,0.0249685,0.000457445,0.030335997
9/11/18,$55.96,-0.0124968,-0.000223307,0.033573334
9/12/18,$55.27,0.0238681,0.000431865,0.032343775
9/13/18,$56.60,-0.011416,-0.000201687,0.026337519
9/14/18,$55.96,-0.0269871,-0.000482256,0.025283282
9/17/18,$54.47,0.0016509,3.03088E-05,0.024341777
9/18/18,$54.56,0.0005955,1.09145E-05,0.024186081
9/19/18,$54.59,0.007573,0.000138719,0.024102924
9/20/18,$55.01,-0.0108297,-0.000196877,0.017662671
9/21/18,$54.42,0.0142778,0.000262387,0.014340723
9/24/18,$55.20,0.0063208,0.000114513,0.023881792
9/25/18,$55.55,-0.0079981,-0.000143986,0.018367319
9/26/18,$55.11,0.0203433,0.000369174,0.017937493
9/27/18,$56.24,0.0035057,6.23381E-05,0.018851788
9/28/18,$56.44,0.0067108,0.000118913,0.01809281
10/1/18,$56.82,0.0088492,0.000155755,0.015710438
10/2/18,$57.32,0.0120951,0.00021101,0.016030389
10/3/18,$58.02,-0.0177373,-0.000305723,0.005863684
10/4/18,$57.00,-0.0163619,-0.000287064,0.002005115
10/5/18,$56.07,-0.0023211,-4.1395E-05,0.006177153
10/8/18,$55.94,0.0137584,0.000245939,-0.001241887
10/9/18,$56.72,-0.0474335,-0.000836311,0.001822506
10/10/18,$54.09,-0.0088671,-0.000163932,-0.003325998
10/11/18,$53.61,0.0350961,0.000654626,0.001339789
10/12/18,$55.53,-0.0216178,-0.000389317,0.017677326
10/15/18,$54.34,0.0217979,0.000401138,0.017659407
10/16/18,$55.54,-0.0043308,-7.79792E-05,0.013491292
10/17/18,$55.30,-0.0236511,-0.000427706,0.017918832
10/18/18,$54.01,0.0151153,0.000279886,0.017299244
10/19/18,$54.83,0.0060915,0.000111103,0.020571283
10/22/18,$55.16,0.0093825,0.000170089,0.028093443
10/23/18,$55.68,-0.0349037,-0.000626835,0.031294432
10/24/18,$53.77,0.0216615,0.000402836,0.030200755
10/25/18,$54.95,-0.0160517,-0.000292115,0.021874002
10/26/18,$54.08,-0.0189486,-0.000350414,0.02345844
10/29/18,$53.06,0.0049819,9.38921E-05,0.026757905
10/30/18,$53.33,0.0257326,0.000482562,0.020543936
10/31/18,$54.72,0.0152356,0.000278454,-0.001246958
11/1/18,$55.56,-0.0686329,-0.001235405,-0.000149065
11/2/18,$51.87,-0.028799,-0.000555215,0.000211533
11/5/18,$50.40,0.010756,0.000213423,-0.006324797
11/6/18,$50.94,0.0298775,0.000586495,-0.00402058
11/7/18,$52.49,-0.0069783,-0.000132952,-0.000463879
11/8/18,$52.12,-0.0194698,-0.00037354,0.012054629
11/9/18,$51.12,-0.0516872,-0.001011145,0.008500519
11/12/18,$48.54,-0.0100415,-0.00020686,0.008143623
11/13/18,$48.06,-0.028654,-0.000596245,0.008281284
11/14/18,$46.70,0.0243792,0.000522039,0.008798931
11/15/18,$47.85,0.0110148,0.000230183,0.003686236
11/16/18,$48.38,-0.0404388,-0.000835815,0.011509299
11/19/18,$46.47,-0.048957,-0.001053631,0.011687954
11/20/18,$44.25,-0.0011307,-2.55557E-05,0.014134275
11/21/18,$44.20,-0.0257269,-0.000582123,0.013659512
11/23/18,$43.07,0.0134331,0.000311871,0.013351982
11/26/18,$43.66,-0.0021785,-4.99032E-05,0.002741168
11/27/18,$43.56,0.0377318,0.000866204,0.002023271
11/28/18,$45.24,-0.0077118,-0.000170482,0.001372825
11/29/18,$44.89,-0.005417,-0.00012068,-0.012230249
11/30/18,$44.65,0.0343457,0.000769307,-0.003319738
12/3/18,$46.21,-0.0449856,-0.000973609,-0.002812414
12/4/18,$44.17,-0.0112121,-0.000253825,-0.006839001
12/6/18,$43.68,-0.0363083,-0.000831234,-0.005541039
12/7/18,$42.12,0.0065663,0.000155886,-0.003863326
12/10/18,$42.40,-0.0057358,-0.000135277,-0.003247203
12/11/18,$42.16,0.0027833,6.60212E-05,-0.006053579
12/12/18,$42.28,0.0108809,0.000257383,0.003532784
12/13/18,$42.74,-0.0325208,-0.000760942,0.004278581
12/14/18,$41.37,-0.0093498,-0.000226005,0.001949285
12/17/18,$40.99,0.0129089,0.000314966,0.006819547
12/18/18,$41.52,-0.0316885,-0.000763256,0.011611699
12/19/18,$40.22,-0.0255585,-0.000635428,0.015155133
12/20/18,$39.21,-0.0396723,-0.001011854,0.033683843
12/21/18,$37.68,-0.0262147,-0.000695673,0.066354664
12/24/18,$36.71,0.0680526,0.001853915,0.064541343
12/26/18,$39.29,-0.0065109,-0.000165704,0.064205853
12/27/18,$39.04,0.0005122,1.31206E-05,0.066385663
12/28/18,$39.06,0.0096188,0.000246274,0.065251053
12/31/18,$39.44,0.0011405,2.89202E-05,0.068414638
1/2/19,$39.48,-0.1049244,-0.002657659,0.085742908
1/3/19,$35.55,0.0418033,0.001175984,0.085269378
1/4/19,$37.07,-0.0022283,-6.01187E-05,0.075814035
1/7/19,$36.98,0.0188836,0.00051061,0.07352329
1/8/19,$37.69,0.0168392,0.000446811,0.07221303
1/9/19,$38.33,0.003191,8.32572E-05,0.071779918
1/10/19,$38.45,-0.0098665,-0.000256605,0.069448516
1/11/19,$38.07,-0.0151513,-0.000397959,0.070819403
1/14/19,$37.50,0.02026,0.000540268,0.070935623
1/15/19,$38.27,0.0121426,0.000317309,0.071063104
1/16/19,$38.74,0.0059202,0.000152839,0.07219144
1/17/19,$38.97,0.0061405,0.00015759,0.065197649
1/18/19,$39.21,-0.0227019,-0.000579055,0.065429452
1/22/19,$38.33,0.0040362,0.000105315,0.066832413
1/23/19,$38.48,-0.0079578,-0.000206803,0.066343464
1/24/19,$38.18,0.0325997,0.000853954,0.0650751
1/25/19,$39.44,-0.0092977,-0.000235742,0.066026914
1/28/19,$39.08,-0.0104188,-0.000266635,0.048260092
1/29/19,$38.67,0.066101,0.001709362,0.047749524
1/30/19,$41.31,0.0071754,0.000173686,0.047552861
1/31/19,$41.61,0.0004805,1.15486E-05,0.046214167
2/1/19,$41.63,0.0280091,0.000672809,0.049145664
2/4/19,$42.81,0.0169648,0.000396257,0.048826225
2/5/19,$43.55,0.0003444,7.90933E-06,0.048473137
2/6/19,$43.56,-0.019121,-0.000438959,0.048261526
