Close,return,P/E,β,empty_Close,empty_return,empty_P/E,empty_β
45.54,0.0123297,0.000270729,0.420677383,0.0,0.0,0.0,0.0
46.11,-0.001465,-3.17745E-05,0.209902995,0.0,0.0,0.0,0.0
46.04,0.0072499,0.00015747,0.126337118,0.0,0.0,0.0,0.0
46.38,-0.0021046,-4.53831E-05,0.087107256,0.0,0.0,0.0,0.0
46.28,0.0111205,0.0002403,0.156173566,0.0,0.0,0.0,0.0
46.80,-0.0175698,-0.000375464,0.143548546,0.0,0.0,0.0,0.0
45.98,0.0080148,0.00017431,0.072174007,0.0,0.0,0.0,0.0
46.35,0.0137667,0.000297017,0.119920925,0.0,0.0,0.0,0.0
46.99,0.0137897,0.000293444,0.108911825,0.0,0.0,0.0,0.0
47.65,-0.0012076,-2.53452E-05,0.116045879,0.0,0.0,0.0,0.0
47.59,-0.013061,-0.000274463,0.129726639,0.0,0.0,0.0,0.0
46.97,0.016627,0.000353992,0.119398754,0.0,0.0,0.0,0.0
47.76,0.0015692,3.28577E-05,0.103104067,0.0,0.0,0.0,0.0
47.83,-0.0021976,-4.59431E-05,0.095006178,0.0,0.0,0.0,0.0
47.73,0.0028246,5.91811E-05,0.078075056,0.0,0.0,0.0,0.0
47.86,-0.0054996,-0.000114903,0.06607321,0.0,0.0,0.0,0.0
47.60,0.0077431,0.000162669,0.063115808,0.0,0.0,0.0,0.0
47.97,-0.0022957,-4.78577E-05,0.060233442,0.0,0.0,0.0,0.0
47.86,0.0008876,1.8546E-05,0.056380819,0.0,0.0,0.0,0.0
47.90,0.0072281,0.000150893,0.060162129,0.0,0.0,0.0,0.0
48.25,0.0093859,0.000194526,0.064800168,0.0,0.0,0.0,0.0
48.71,-0.003136,-6.43878E-05,0.088723835,0.0,0.0,0.0,0.0
48.55,-0.0167713,-0.000345427,0.117208248,0.0,0.0,0.0,0.0
47.75,-0.0056184,-0.000117676,0.112477379,0.0,0.0,0.0,0.0
47.48,0.0019989,4.21031E-05,0.087462018,0.0,0.0,0.0,0.0
47.57,0.0572402,0.001203219,0.079222879,0.0,0.0,0.0,0.0
50.38,0.0288117,0.000571944,0.077457094,0.0,0.0,0.0,0.0
51.85,0.0028889,5.57196E-05,0.074280114,0.0,0.0,0.0,0.0
52.00,0.0051791,9.96033E-05,0.062061282,0.0,0.0,0.0,0.0
52.27,-0.0094191,-0.000180209,0.061358702,0.0,0.0,0.0,0.0
51.78,0.0006757,1.30509E-05,0.058795101,0.0,0.0,0.0,0.0
51.81,0.0078341,0.000151202,0.052065013,0.0,0.0,0.0,0.0
52.22,-0.006484,-0.000124167,0.051402544,0.0,0.0,0.0,0.0
51.88,0.0064361,0.000124052,0.049993988,0.0,0.0,0.0,0.0
52.22,0.0042043,8.05151E-05,0.047187023,0.0,0.0,0.0,0.0
52.44,0.0023334,4.44985E-05,0.049861352,0.0,0.0,0.0,0.0
52.56,0.0145437,0.000276706,0.055625147,0.0,0.0,0.0,0.0
53.33,0.0197732,0.000370771,0.031289439,0.0,0.0,0.0,0.0
54.40,-0.0097913,-0.000180004,0.032873253,0.0,0.0,0.0,0.0
53.87,-0.0019512,-3.62243E-05,0.029342893,0.0,0.0,0.0,0.0
53.76,4.65E-05,8.64991E-07,0.027665087,0.0,0.0,0.0,0.0
53.76,0.0020439,3.80181E-05,0.026003142,0.0,0.0,0.0,0.0
53.87,0.0031044,5.76244E-05,0.02288475,0.0,0.0,0.0,0.0
54.04,0.0082009,0.000151757,0.020991411,0.0,0.0,0.0,0.0
54.49,0.0080432,0.000147622,0.023207452,0.0,0.0,0.0,0.0
54.93,0.0148191,0.000269806,0.022594938,0.0,0.0,0.0,0.0
55.75,0.0091516,0.00016417,0.022742227,0.0,0.0,0.0,0.0
56.26,0.0114878,0.0002042,0.020518354,0.0,0.0,0.0,0.0
56.91,0.0032018,5.62637E-05,0.022891135,0.0,0.0,0.0,0.0
57.09,-0.0065462,-0.000114664,0.025375044,0.0,0.0,0.0,0.0
56.72,-0.0167571,-0.000295448,0.01881442,0.0,0.0,0.0,0.0
55.78,-0.0081009,-0.000145242,0.023835665,0.0,0.0,0.0,0.0
55.33,-0.0135116,-0.000244222,0.027994577,0.0,0.0,0.0,0.0
54.58,0.0249685,0.000457445,0.030335997,0.0,0.0,0.0,0.0
55.96,-0.0124968,-0.000223307,0.033573334,0.0,0.0,0.0,0.0
55.27,0.0238681,0.000431865,0.032343775,0.0,0.0,0.0,0.0
56.60,-0.011416,-0.000201687,0.026337519,0.0,0.0,0.0,0.0
55.96,-0.0269871,-0.000482256,0.025283282,0.0,0.0,0.0,0.0
54.47,0.0016509,3.03088E-05,0.024341777,0.0,0.0,0.0,0.0
54.56,0.0005955,1.09145E-05,0.024186081,0.0,0.0,0.0,0.0
54.59,0.007573,0.000138719,0.024102924,0.0,0.0,0.0,0.0
55.01,-0.0108297,-0.000196877,0.017662671,0.0,0.0,0.0,0.0
54.42,0.0142778,0.000262387,0.014340723,0.0,0.0,0.0,0.0
55.20,0.0063208,0.000114513,0.023881792,0.0,0.0,0.0,0.0
55.55,-0.0079981,-0.000143986,0.018367319,0.0,0.0,0.0,0.0
55.11,0.0203433,0.000369174,0.017937493,0.0,0.0,0.0,0.0
56.24,0.0035057,6.23381E-05,0.018851788,0.0,0.0,0.0,0.0
56.44,0.0067108,0.000118913,0.01809281,0.0,0.0,0.0,0.0
56.82,0.0088492,0.000155755,0.015710438,0.0,0.0,0.0,0.0
57.32,0.0120951,0.00021101,0.016030389,0.0,0.0,0.0,0.0
58.02,-0.0177373,-0.000305723,0.005863684,0.0,0.0,0.0,0.0
57.00,-0.0163619,-0.000287064,0.002005115,0.0,0.0,0.0,0.0
56.07,-0.0023211,-4.1395E-05,0.006177153,0.0,0.0,0.0,0.0
55.94,0.0137584,0.000245939,-0.001241887,0.0,0.0,0.0,0.0
56.72,-0.0474335,-0.000836311,0.001822506,0.0,0.0,0.0,0.0
54.09,-0.0088671,-0.000163932,-0.003325998,0.0,0.0,0.0,0.0
53.61,0.0350961,0.000654626,0.001339789,0.0,0.0,0.0,0.0
55.53,-0.0216178,-0.000389317,0.017677326,0.0,0.0,0.0,0.0
54.34,0.0217979,0.000401138,0.017659407,0.0,0.0,0.0,0.0
55.54,-0.0043308,-7.79792E-05,0.013491292,0.0,0.0,0.0,0.0
55.30,-0.0236511,-0.000427706,0.017918832,0.0,0.0,0.0,0.0
54.01,0.0151153,0.000279886,0.017299244,0.0,0.0,0.0,0.0
54.83,0.0060915,0.000111103,0.020571283,0.0,0.0,0.0,0.0
55.16,0.0093825,0.000170089,0.028093443,0.0,0.0,0.0,0.0
55.68,-0.0349037,-0.000626835,0.031294432,0.0,0.0,0.0,0.0
53.77,0.0216615,0.000402836,0.030200755,0.0,0.0,0.0,0.0
54.95,-0.0160517,-0.000292115,0.021874002,0.0,0.0,0.0,0.0
54.08,-0.0189486,-0.000350414,0.02345844,0.0,0.0,0.0,0.0
53.06,0.0049819,9.38921E-05,0.026757905,0.0,0.0,0.0,0.0
53.33,0.0257326,0.000482562,0.020543936,0.0,0.0,0.0,0.0
54.72,0.0152356,0.000278454,-0.001246958,0.0,0.0,0.0,0.0
55.56,-0.0686329,-0.001235405,-0.000149065,0.0,0.0,0.0,0.0
51.87,-0.028799,-0.000555215,0.000211533,0.0,0.0,0.0,0.0
50.40,0.010756,0.000213423,-0.006324797,0.0,0.0,0.0,0.0
50.94,0.0298775,0.000586495,-0.00402058,0.0,0.0,0.0,0.0
